time;speed;acc
48.29;0.84;0.20
48.35;0.85;-0.07
48.40;0.82;-0.34
48.46;0.75;-0.59
48.51;0.65;-0.78
48.57;0.54;-0.89
48.62;0.44;-0.91
48.68;0.36;-0.84
48.73;0.31;-0.70
48.79;0.30;-0.50
48.84;0.30;-0.27
48.89;0.32;-0.02
48.95;0.34;0.23
49.01;0.37;0.46
49.06;0.41;0.68
49.12;0.44;0.88
49.17;0.49;1.04
49.23;0.56;1.15
49.28;0.65;1.21
49.34;0.76;1.20
49.39;0.87;1.11
49.45;0.97;0.96
49.50;1.05;0.74
49.56;1.08;0.49
49.61;1.07;0.23
49.67;1.03;-0.02
49.72;0.97;-0.23
49.78;0.91;-0.37
49.83;0.86;-0.44
49.88;0.82;-0.43
49.94;0.79;-0.35
50.00;0.78;-0.22
50.05;0.77;-0.06
50.11;0.78;0.11
50.16;0.80;0.27
50.22;0.83;0.41
50.27;0.88;0.52
50.33;0.93;0.58
50.38;0.99;0.62
50.44;1.04;0.61
50.49;1.07;0.59
50.55;1.09;0.54
50.60;1.11;0.48
50.66;1.13;0.41
50.71;1.14;0.34
50.77;1.17;0.25
50.82;1.19;0.16
50.88;1.20;0.07
50.93;1.21;-0.02
50.99;1.20;-0.11
51.04;1.17;-0.18
51.10;1.14;-0.23
51.15;1.11;-0.26
51.21;1.08;-0.27
51.26;1.06;-0.25
51.32;1.05;-0.21
51.37;1.05;-0.16
51.43;1.05;-0.10
51.48;1.05;-0.03
51.54;1.05;0.03
51.59;1.05;0.08
51.64;1.05;0.12
51.70;1.06;0.14
51.76;1.08;0.12
51.81;1.11;0.08
51.87;1.13;-0.00
51.92;1.15;-0.11
51.98;1.15;-0.24
52.03;1.13;-0.38
52.09;1.08;-0.52
52.14;1.02;-0.64
52.20;0.96;-0.72
52.25;0.89;-0.75
52.31;0.83;-0.73
52.36;0.78;-0.64
52.42;0.74;-0.49
52.47;0.71;-0.29
52.53;0.69;-0.07
52.58;0.69;0.15
52.63;0.72;0.35
52.69;0.78;0.50
52.75;0.86;0.58
52.80;0.94;0.57
52.86;1.02;0.49
52.91;1.07;0.34
52.97;1.09;0.15
53.02;1.06;-0.06
53.08;1.01;-0.25
53.13;0.94;-0.40
53.19;0.87;-0.49
53.24;0.81;-0.49
53.30;0.77;-0.42
53.35;0.75;-0.28
53.41;0.74;-0.09
53.46;0.74;0.12
53.52;0.77;0.32
53.57;0.81;0.49
53.62;0.87;0.62
53.68;0.95;0.68
53.74;1.02;0.68
53.79;1.08;0.64
53.85;1.13;0.56
